Famille;Sous famille;Désignation;Fournisseur;Fabricant;Ref fournisseur;tenu en stock;Conditionnement;Multiple cde;Unité Qte; Ancien Prix/U HT ;Prix/U HT;unité / prix;Coeff conversion;date prix
Profil Alu;;CACHE PORTE COULISSANTE;ARCELOR (BERTON SICARD);INSTALLUX;167;Non;6;;;;;;;
Profil Alu;;ANGLE EXTERIEUR 80X40;ARCELOR (BERTON SICARD);INSTALLUX;168;Non;6;;;;;;;
Profil Alu;;ANGLE INTERIEUR 80X40;ARCELOR (BERTON SICARD);INSTALLUX;169;Non;6;;;;;;;
Profil Alu;PARCLOSE;*PARCLOSE REMPL. 46/65;ARCELOR (BERTON SICARD);INSTALLUX;173;Non;6;;;;;;;
Profil Alu;;SEUIL PORTE 140;ARCELOR (BERTON SICARD);INSTALLUX;178;Non;6;;;;;;;
Profil Alu;;TRAVERSE DOUBLE CAGE;ARCELOR (BERTON SICARD);INSTALLUX;179;Non;6;;;;;;;
Profil Alu;;HUISSERIE A BATTUE;ARCELOR (BERTON SICARD);INSTALLUX;181;Non;6;;;;;;;
profil alu;;OUVRANT FRANC. 40X77;ARCELOR (BERTON SICARD);INSTALLUX;182;Non;6;;;;;;;
Profil Alu;;OUVRANT ANGLAISE 40X77;ARCELOR (BERTON SICARD);INSTALLUX;183;Non;6;;;;;;;
Profil Alu;;MENEAU 80;ARCELOR (BERTON SICARD);INSTALLUX;184;Non;6;;;;;;;
Profil Alu;;MENEAU 1 AILE FIXE;ARCELOR (BERTON SICARD);INSTALLUX;200;Non;6;;;;;;;
Profil Alu;;TRAV BARREAU DEFENSE;ARCELOR (BERTON SICARD);INSTALLUX;201;Non;6,5;;;;;;;
Profil Alu;;DORMANT 140 RALLONGE;ARCELOR (BERTON SICARD);INSTALLUX;205;Non;6,5;;;;;;;
Profil Alu;PARCLOSE;*PARCLOSE TALON SECURITE;ARCELOR (BERTON SICARD);INSTALLUX;218;Non;6;;;;;;;
Profil Alu;PARCLOSE;PARCLOSE TALON SECURITE;ARCELOR (BERTON SICARD);INSTALLUX;219;Non;6;;;;;;;
Profil Alu;PARCLOSE;PARCLOSE TALON SECURITE;ARCELOR (BERTON SICARD);INSTALLUX;220;Non;6;;;;;;;
Profil Alu;PARCLOSE;PARCLOSE TALON SECURITE;ARCELOR (BERTON SICARD);INSTALLUX;223;Non;6;;;;;;;
Profil Alu;PARCLOSE;PARCLOSE TALON SECURITE;ARCELOR (BERTON SICARD);INSTALLUX;226;Non;6;;;;;;;
Profil Alu;;LISSE HAUTE NON PERFOREE;ARCELOR (BERTON SICARD);INSTALLUX;300;Non;6;;;;;;;
Profil Alu;;MAIN COURANTE 25;ARCELOR (BERTON SICARD);INSTALLUX;301;Non;6;;;;;;;
Profil Alu;;PROFIL BAS PR BARREAUDAG;ARCELOR (BERTON SICARD);INSTALLUX;302;Non;6,5;;;;;;;
Profil Alu;;BARREAU A UNE FIXATION;ARCELOR (BERTON SICARD);INSTALLUX;305;Non;6,5;;;;;;;
Profil Alu;;RAIDISSEUR 40X20;ARCELOR (BERTON SICARD);INSTALLUX;306;Non;6,5;;;;;;;
Profil Alu;;RAIDISSEUR 40X20 USINE;ARCELOR (BERTON SICARD);INSTALLUX;307;Non;6,5;;;;;;;
Profil Alu;;CLOSOIR PROFIL BARREAUDA;ARCELOR (BERTON SICARD);INSTALLUX;308;Non;6,5;;;;;;;
Profil Alu;;PROFIL POUR BARREAUDAGE;ARCELOR (BERTON SICARD);INSTALLUX;309;Non;6,5;;;;;;;
Profil Alu;;MAIN COURANTE 40;ARCELOR (BERTON SICARD);INSTALLUX;310;Non;6;;;;;;;
Profil Alu;;BARREAU OVAL;ARCELOR (BERTON SICARD);INSTALLUX;311;Non;6,5;;;;;;;
Profil Alu;;MAIN COURANTE ELLIPTIQUE;ARCELOR (BERTON SICARD);INSTALLUX;312;Non;6,5;;;;;;;
Profil Alu;;LISSE HTE PERFOREE GC;ARCELOR (BERTON SICARD);INSTALLUX;321;Non;6;;;;;;;
Profil Alu;;LISSE BASS PERFORE GC;ARCELOR (BERTON SICARD);INSTALLUX;322;Non;6;;;;;;;
Profil Alu;EMBOUT;EMBOUT MC 312 DROIT;ARCELOR (BERTON SICARD);INSTALLUX;323D;Non;1;;;;;;;
Profil Alu;EMBOUT;EMBOUT MC 312 GAUCHE;ARCELOR (BERTON SICARD);INSTALLUX;323G;Non;1;;;;;;;
Profil Alu;;MAIN COURANTE DIAM.63;ARCELOR (BERTON SICARD);INSTALLUX;324;Non;6;;;;;;;
Profil Alu;;LISSE HTE REMP SOUS LISS;ARCELOR (BERTON SICARD);INSTALLUX;326;Non;6,5;;;;;;;
Profil Alu;EMBOUT;KIT EMBOUTS LISSE CIRC;ARCELOR (BERTON SICARD);INSTALLUX;327;Non;1;;;;;;;
Profil Alu;;LISSE HAUTE PERFOREE;ARCELOR (BERTON SICARD);INSTALLUX;328;Non;6,5;;;;;;;
Profil Alu;;LISSE CIRCULAIRE;ARCELOR (BERTON SICARD);INSTALLUX;329;Non;6,5;;;;;;;
Profil Alu;;MAIN COURANTE;ARCELOR (BERTON SICARD);INSTALLUX;330;Non;6,5;;;;;;;
Profil Alu;EMBOUT;KIT EMBOUTS MC 330;ARCELOR (BERTON SICARD);INSTALLUX;331;Non;1;;;;;;;
Profil Alu;;CLOSOIR HAUT BARREAUDAGE;ARCELOR (BERTON SICARD);INSTALLUX;334;Non;6,5;;;;;;;
Profil Alu;;RACCORD MAIN COURANTE;ARCELOR (BERTON SICARD);INSTALLUX;335;Non;1;;;;;;;
Profil Alu;;LISSE RECTANGULAIRE;ARCELOR (BERTON SICARD);INSTALLUX;336;Non;6,5;;;;;;;
Profil Alu;;PROFIL CADRE HT RECT.;ARCELOR (BERTON SICARD);INSTALLUX;337;Non;6,5;;;;;;;
